City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,cabo san lucas,22.8909,-109.9124,24.61,73,0,3.58,MX,1717964918
74,paracatu,-17.2222,-46.8747,21.73,47,6,1.64,BR,1717965213
75,camana,-16.6228,-72.7111,18.34,77,53,3.55,PE,1717965213
76,whitehorse,60.7161,-135.0538,20.61,27,75,4.63,CA,1717965189
77,gadzhiyevo,69.2551,33.3362,4.89,91,24,3.72,RU,1717965213
78,tura,25.5198,90.2201,24.59,96,30,3.46,IN,1717965214
79,tiksi,71.6872,128.8694,0.61,95,100,3.37,RU,1717965214
80,castillos,-34.1667,-53.8333,21.75,77,67,5.66,UY,1717965214
81,bastrop,32.7562,-91.8724,35.94,52,0,1.34,US,1717965214
82,laguna,38.421,-121.4238,30.86,44,0,4.12,US,1717965214
83,mount isa,-20.7333,139.5,7.87,76,3,1.54,AU,1717965019
84,pathein,16.7833,94.7333,26.01,91,100,2.96,MM,1717965215
85,blackmans bay,-43.0167,147.3167,5.29,85,7,1.34,AU,1717965215
86,plesetsk,62.708,40.2916,9.09,95,91,1.75,RU,1717965215
87,aquiraz,-3.9014,-38.3911,30.02,85,83,2.98,BR,1717965215
88,san patricio,28.017,-97.5169,35.3,49,21,7.17,US,1717965215
89,luderitz,-26.6481,15.1594,20.38,28,6,3.33,NA,1717965215
90,itaituba,-4.2761,-55.9836,31.09,66,20,1.03,BR,1717965216
91,qaqortoq,60.7167,-46.0333,8.03,87,99,2.73,GL,1717965216
92,erenhot,43.6475,111.9767,22.47,25,100,5.96,CN,1717965216
93,ancud,-41.8697,-73.8203,10.74,81,70,6.0,CL,1717965216
94,brookings,44.3114,-96.7984,24.19,40,40,4.63,US,1717965217
95,kirkwall,58.9848,-2.9587,9.03,81,100,7.72,GB,1717965217
96,wailua homesteads,22.0669,-159.378,28.24,74,75,6.17,US,1717965217
97,ushuaia,-54.8,-68.3,-2.19,93,20,2.06,AR,1717965217
98,oxapampa,-10.5775,-75.4017,20.87,62,52,2.04,PE,1717965218
99,vanino,49.0869,140.2543,11.07,98,100,1.18,RU,1717965218
100,port mathurin,-19.6833,63.4167,24.21,81,38,7.77,MU,1717965218
101,ilulissat,69.2167,-51.1,4.01,81,75,2.57,GL,1717965219
102,saint-joseph,-21.3667,55.6167,20.21,82,26,4.62,RE,1717965219
103,iqaluit,63.7506,-68.5145,4.85,52,75,4.12,CA,1717965219
104,shentala,54.45,51.4833,14.73,89,46,0.99,RU,1717965219
105,suva,-18.1416,178.4415,20.71,100,40,1.54,FJ,1717965219
106,north platte,41.1239,-100.7654,25.62,51,0,4.12,US,1717965220
107,kingston,17.997,-76.7936,31.53,70,40,11.83,JM,1717965220
108,sandy point town,17.35,-62.8333,30.31,70,20,5.66,KN,1717965220
109,lompoc,34.6391,-120.4579,28.16,66,0,5.66,US,1717965220
110,hamilton,39.1834,-84.5333,26.71,43,0,4.12,US,1717964891
111,hanceville,34.0607,-86.7675,33.64,57,95,4.44,US,1717965220
112,allendale,42.9723,-85.9537,24.04,46,6,8.06,US,1717965089
113,rio grande,-32.035,-52.0986,26.06,80,100,4.79,BR,1717965221
114,bilibino,68.0546,166.4372,9.58,50,12,1.41,RU,1717965221
115,broken hill,-31.95,141.4333,10.12,65,72,2.54,AU,1717965221
116,changli,39.7042,119.1506,18.94,77,41,1.2,CN,1717965222
117,novyy urgal,51.0736,132.5642,12.45,91,100,0.43,RU,1717965222
118,kourou,5.1552,-52.6478,30.03,78,49,2.81,GF,1717965222
119,coahuayana de hidalgo,18.7,-103.6583,31.56,50,8,3.84,MX,1717965222
120,vorkuta,67.5,64.0,2.28,96,100,1.79,RU,1717965222
121,hawaiian paradise park,19.5933,-154.9731,27.15,65,100,3.09,US,1717965223
122,papao,-17.75,-149.55,29.82,84,96,7.99,PF,1717965223
123,college,64.8569,-147.8028,24.18,34,75,2.57,US,1717965223
124,totness,5.8833,-56.3167,27.35,78,61,3.6,SR,1717965223
125,pak phanang,8.3511,100.202,26.8,77,98,1.99,TH,1717965223
126,st. john's,47.5649,-52.7093,14.66,87,100,8.23,CA,1717965005
127,la libertad,-2.2333,-80.9,23.81,78,40,4.12,EC,1717965224
128,ust'-uda,54.1742,103.0304,12.58,97,64,1.7,RU,1717965224
129,mar del plata,-38.0023,-57.5575,18.01,88,75,4.92,AR,1717965224
130,gouyave,12.1646,-61.7296,28.01,81,78,7.11,GD,1717965224
131,chaman,30.9236,66.4512,24.99,9,0,2.29,PK,1717965224
132,la romana,18.4273,-68.9728,32.2,66,40,4.12,DO,1717965225
133,broome,42.2506,-75.833,21.5,68,100,4.12,US,1717965225
134,okhotsk,59.3833,143.3,5.85,87,16,2.82,RU,1717965225
135,cabedelo,-6.9811,-34.8339,27.37,81,11,6.44,BR,1717965225
136,lihue,21.9789,-159.3672,28.58,68,75,6.17,US,1717965225
137,ullal,12.8,74.85,23.53,100,75,3.09,IN,1717965225
138,saint-philippe,-21.3585,55.7679,20.77,84,51,4.3,RE,1717965226
